6.000000000000000000e+00,8.120000000000000000e+02,1.593000000000000000e+03,2.354000000000000000e+03,3.105000000000000000e+03,3.838000000000000000e+03
4.000000000000000000e+00,1.015000000000000000e+03,1.980000000000000000e+03,2.913000000000000000e+03,3.802000000000000000e+03,4.633000000000000000e+03
4.000000000000000000e+00,8.990000000000000000e+02,1.763000000000000000e+03,2.613000000000000000e+03,3.456000000000000000e+03,4.272000000000000000e+03
4.000000000000000000e+00,8.490000000000000000e+02,1.672000000000000000e+03,2.465000000000000000e+03,3.255000000000000000e+03,4.015000000000000000e+03
4.000000000000000000e+00,1.195000000000000000e+03,2.326000000000000000e+03,3.393000000000000000e+03,4.440000000000000000e+03,5.361000000000000000e+03
4.000000000000000000e+00,8.990000000000000000e+02,1.767000000000000000e+03,2.614000000000000000e+03,3.452000000000000000e+03,4.285000000000000000e+03
4.000000000000000000e+00,8.630000000000000000e+02,1.697000000000000000e+03,2.493000000000000000e+03,3.276000000000000000e+03,4.051000000000000000e+03
4.000000000000000000e+00,8.070000000000000000e+02,1.605000000000000000e+03,2.375000000000000000e+03,3.171000000000000000e+03,3.969000000000000000e+03
4.000000000000000000e+00,1.180000000000000000e+03,2.301000000000000000e+03,3.382000000000000000e+03,4.418000000000000000e+03,5.351000000000000000e+03
4.000000000000000000e+00,8.300000000000000000e+02,1.614000000000000000e+03,2.365000000000000000e+03,3.105000000000000000e+03,3.874000000000000000e+03
4.000000000000000000e+00,1.085000000000000000e+03,2.118000000000000000e+03,3.100000000000000000e+03,4.092000000000000000e+03,4.978000000000000000e+03
4.000000000000000000e+00,9.830000000000000000e+02,1.947000000000000000e+03,2.881000000000000000e+03,3.829000000000000000e+03,4.662000000000000000e+03
4.000000000000000000e+00,1.376000000000000000e+03,2.708000000000000000e+03,4.010000000000000000e+03,5.298000000000000000e+03,6.528000000000000000e+03
4.000000000000000000e+00,7.720000000000000000e+02,1.512000000000000000e+03,2.222000000000000000e+03,2.935000000000000000e+03,3.616000000000000000e+03
4.000000000000000000e+00,7.120000000000000000e+02,1.387000000000000000e+03,2.043000000000000000e+03,2.699000000000000000e+03,3.325000000000000000e+03
4.000000000000000000e+00,9.860000000000000000e+02,1.941000000000000000e+03,2.856000000000000000e+03,3.793000000000000000e+03,4.611000000000000000e+03
